anecdotes,fichier,anecdotes_reco,boucle_tâche.thisRepN,boucle_tâche.thisTrialN,boucle_tâche.thisN,boucle_tâche.thisIndex,boucle_reco.thisRepN,boucle_reco.thisTrialN,boucle_reco.thisN,boucle_reco.thisIndex,textWelcome.started,textWelcome.stopped,Instructions.started,key_resp.started,key_resp.keys,key_resp.rt,Anecdotes.started,tache_text.started,Validation_button.started,mouse_click.started,tache_text.text,mouse_click.x,mouse_click.y,mouse_click.leftButton,mouse_click.midButton,mouse_click.rightButton,mouse_click.time,mouse_click.clicked_name,feedbacktext.started,feedback_fichier_train.started,feedbacktext.stopped,feedback_fichier_train.stopped,text.started,text.stopped,waiting_screen.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,blank.started,blank.stopped,text_3.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,Anecdotes_reco.started,reco_text.started,validation_reco.started,mouse_reco.started,reco_text.text,mouse_reco.x,mouse_reco.y,mouse_reco.leftButton,mouse_reco.midButton,mouse_reco.rightButton,mouse_reco.time,mouse_reco.clicked_name,text_2.started,end.started,end.keys,end.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,37.35498910000024,39.364776399999755,39.364776399999755,42.36496790000092,space,11.652452799997263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP5,001,2023-03-17_12h33.39.933,Expérimentation1_SOLO,2022.2.5,60.063054194356646,
Une personne brule plus de calories quand il dort que lorsqu’il regarde la télé  ,ITEMS,Une personne brule plus de calories quand il dort que lorsqu’il regarde la télé  ,0,0,0,20,,,,,,,,,,,54.069760500000484,54.069760500000484,54.069760500000484,0.0254213999996864,"UNE PERSONNE BRULE PLUS DE CALORIES QUAND IL DORT QUE LORSQU'IL REGARDE LA TéLé
",[0.010185185185185186],[-0.3972222222222222],[1],[0],[0],[54.47190950000004],['Validation_button'],108.54755980000118,108.54755980000118,113.54739020000125,113.54739020000125,113.54739020000125,114.05343280000125,,,,,,,,,,,,,,,,,,,,,,,,,,,AP5,001,2023-03-17_12h33.39.933,Expérimentation1_SOLO,2022.2.5,60.063054194356646,
La cacahuète est l’un des ingrédients de la dynamite  ,POINTS,La cacahuète est l’un des ingrédients de la dynamite  ,0,1,1,27,,,,,,,,,,,114.05343280000125,114.05343280000125,114.05343280000125,0.009533099999316619,La cacahuète est l'un des ingrédients de la dynamite ,[0.011111111111111112],[-0.40185185185185185],[1],[0],[0],[19.753518199999235],['Validation_button'],133.8140594000015,133.8140594000015,138.81415689999994,138.81415689999994,138.81415689999994,139.31917270000122,,,,,,,,,,,,,,,,,,,,,,,,,,,AP5,001,2023-03-17_12h33.39.933,Expérimentation1_SOLO,2022.2.5,60.063054194356646,
Il y a en moyenne 178 graines de sésames sur le pain du Big Mac de McDonald  ,NOMS,Il y a en moyenne 178 graines de sésames sur le pain du Big Mac de McDonald  ,0,2,2,17,,,,,,,,,,,139.31917270000122,139.31917270000122,139.31917270000122,0.013758299999608425,Il y a en moyenne 178 graines de sésames sur le pain du Big Mac de McDonald,[0.0],[-0.3925925925925926],[1],[0],[0],[30.26800589999948],['Validation_button'],169.5974068000014,169.5974068000014,174.59751219999998,174.59751219999998,174.59751219999998,175.10308989999976,,,,,,,,,,,,,,,,,,,,,,,,,,,AP5,001,2023-03-17_12h33.39.933,Expérimentation1_SOLO,2022.2.5,60.063054194356646,
La carte de visite d’Al Capone indiquait qu’il était vendeur de meuble d’occasion ,INFOS,La carte de visite d’Al Capone indiquait qu’il était vendeur de meuble d’occasion ,0,3,3,13,,,,,,,,,,,175.10308989999976,175.10308989999976,175.10308989999976,0.012403099999573897,La carte de visite d'Al Capone indiquait qu'il était vendeur de meuble d'occasion,[-0.007407407407407408],[-0.3925925925925926],[1],[0],[0],[22.56915560000016],['Validation_button'],197.68084230000022,197.68084230000022,202.68077540000013,202.68077540000013,202.68077540000013,203.18426250000084,,,,,,,,,,,,,,,,,,,,,,,,,,,AP5,001,2023-03-17_12h33.39.933,Expérimentation1_SOLO,2022.2.5,60.063054194356646,
L’Europe est le seul continent sans désert ,DONNEES,L’Europe est le seul continent sans désert ,0,4,4,8,,,,,,,,,,,203.18426250000084,203.18426250000084,203.18426250000084,0.009267100000215578,L'Europe est le seul continent sans désert,"[0.011111111111111112, 0.005555555555555556]","[-0.36944444444444446, -0.40555555555555556]","[1, 1]","[0, 0]","[0, 0]","[16.17282189999969, 16.57302890000028]",['Validation_button'],219.76444410000113,219.76444410000113,224.76442040000074,224.76442040000074,224.76442040000074,225.2644207000012,,,,,,,,,,,,,,,,,,,,,,,,,,,AP5,001,2023-03-17_12h33.39.933,Expérimentation1_SOLO,2022.2.5,60.063054194356646,
Les ongles incarnés sont héréditaires ,DONNEES,Les ongles incarnés sont héréditaires ,0,5,5,7,,,,,,,,,,,225.2644207000012,225.2644207000012,225.2644207000012,0.005969899999399786,Les ongles incarnés sont héréditaires,[0.005555555555555556],[-0.40555555555555556],[1],[0],[0],[11.959068799998931],['Validation_button'],237.23092630000065,237.23092630000065,242.2308922000011,242.2308922000011,242.2308922000011,242.74238839999998,,,,,,,,,,,,,,,,,,,,,,,,,,,AP5,001,2023-03-17_12h33.39.933,Expérimentation1_SOLO,2022.2.5,60.063054194356646,
Un attentat terroriste a eu lieu dans les métros Londonien en juillet 2005 ,DONNEES,Un attentat terroriste a eu lieu dans les métros Londonien en juillet 2005 ,0,6,6,5,,,,,,,,,,,242.74238839999998,242.74238839999998,242.74238839999998,0.01807619999999588,Un attentat terroriste a eu lieu dans les métros Londonien en juillet 2005,[0.021296296296296296],[-0.4046296296296296],[1],[0],[0],[28.74664330000087],['Validation_button'],271.49765750000006,271.49765750000006,276.4976234000005,276.4976234000005,276.4976234000005,277.0081351000008,,,,,,,,,,,,,,,,,,,,,,,,,,,AP5,001,2023-03-17_12h33.39.933,Expérimentation1_SOLO,2022.2.5,60.063054194356646,
L’Himalaya continue de grandir en raison des collisions des plaques tectoniques ,ITEMS,L’Himalaya continue de grandir en raison des collisions des plaques tectoniques ,0,7,7,21,,,,,,,,,,,277.0081351000008,277.0081351000008,277.0081351000008,0.017094599999836646,L'Himalaya continue de grandir en raison des collisions des plaques tectoniques,"[0.014814814814814815, 0.001851851851851852]","[-0.36574074074074076, -0.38981481481481484]","[1, 1]","[0, 0]","[0, 0]","[25.54851620000045, 26.114684699999998]",['Validation_button'],303.1311001000013,303.1311001000013,308.1309805000001,308.1309805000001,308.1309805000001,308.6401224000001,,,,,,,,,,,,,,,,,,,,,,,,,,,AP5,001,2023-03-17_12h33.39.933,Expérimentation1_SOLO,2022.2.5,60.063054194356646,
La pyramide de Gizé est la seule des 7 merveilles de l’ancien monde qui existe toujours ,ITEMS,La pyramide de Gizé est la seule des 7 merveilles de l’ancien monde qui existe toujours ,0,8,8,22,,,,,,,,,,,308.6401224000001,308.6401224000001,308.6401224000001,0.015816700000868877,La pyramide de Gizé est la seule des 7 merveilles de l'ancien monde qui existe toujours,"[0.009259259259259259, 0.010185185185185186]","[-0.387037037037037, -0.3972222222222222]","[1, 1]","[0, 0]","[0, 0]","[27.0821530000012, 28.43211110000084]",['Validation_button'],337.08143759999984,337.08143759999984,342.0812491000015,342.0812491000015,342.0812491000015,342.5885816000009,,,,,,,,,,,,,,,,,,,,,,,,,,,AP5,001,2023-03-17_12h33.39.933,Expérimentation1_SOLO,2022.2.5,60.063054194356646,
Le tsunami dévastateur en Asie s’est produit en décembre 2004 ,FAITS,Le tsunami dévastateur en Asie s’est produit en décembre 2004 ,0,9,9,1,,,,,,,,,,,342.5885816000009,342.5885816000009,342.5885816000009,0.014264999999795691,Le tsunami dévastateur en Asie s'est produit en décembre 2004,[0.005555555555555556],[-0.4009259259259259],[1],[0],[0],[21.517545299999256],['Validation_button'],364.11469279999983,364.11469279999983,369.1146613000001,369.1146613000001,369.1146613000001,369.6223992000014,,,,,,,,,,,,,,,,,,,,,,,,,,,AP5,001,2023-03-17_12h33.39.933,Expérimentation1_SOLO,2022.2.5,60.063054194356646,
La Corée du Nord a annoncé avoir conduit un test nucléaire avec succès en octobre 2006  ,ITEMS,La Corée du Nord a annoncé avoir conduit un test nucléaire avec succès en octobre 2006  ,0,10,10,23,,,,,,,,,,,369.6223992000014,369.6223992000014,369.6223992000014,0.015117900000404916,La Corée du Nord a annoncé avoir conduit un test nucléaire avec succès en octobre 2006,"[0.019444444444444445, 0.017592592592592594]","[-0.3787037037037037, -0.40370370370370373]","[1, 1]","[0, 0]","[0, 0]","[41.067078899999615, 42.366955499999676]",['Validation_button'],411.9984492000003,411.9984492000003,416.9979069000001,416.9979069000001,416.9979069000001,417.50194900000133,,,,,,,,,,,,,,,,,,,,,,,,,,,AP5,001,2023-03-17_12h33.39.933,Expérimentation1_SOLO,2022.2.5,60.063054194356646,
Il y a eu 25 présidents Français ,DONNEES,Il y a eu 25 présidents Français ,0,11,11,6,,,,,,,,,,,417.50194900000133,417.50194900000133,417.50194900000133,0.01213600000119186,Il y a eu 25 présidents Français,[0.016666666666666666],[-0.39814814814814814],[1],[0],[0],[14.41996460000155],['Validation_button'],431.931601100001,431.931601100001,436.9315406000005,436.9315406000005,436.9315406000005,437.4385777000007,,,,,,,,,,,,,,,,,,,,,,,,,,,AP5,001,2023-03-17_12h33.39.933,Expérimentation1_SOLO,2022.2.5,60.063054194356646,
Les concerts Live 8 ont pris place dans les pays du G8 et en Afrique du Sud en juillet 2005 ,NOMS,Les concerts Live 8 ont pris place dans les pays du G8 et en Afrique du Sud en juillet 2005 ,0,12,12,16,,,,,,,,,,,437.4385777000007,437.4385777000007,437.4385777000007,0.013786500001515378,Les concerts Live 8 ont pris place dans les pays du G8 et en Afrique du Sud en juillet 2005,[0.014814814814814815],[-0.3990740740740741],[1],[0],[0],[32.35137440000108],['Validation_button'],469.79809900000146,469.79809900000146,474.7982382000009,474.7982382000009,474.7982382000009,475.29835660000026,,,,,,,,,,,,,,,,,,,,,,,,,,,AP5,001,2023-03-17_12h33.39.933,Expérimentation1_SOLO,2022.2.5,60.063054194356646,
Une vache produit environ 200 000 bouteilles de lait dans sa vie  ,FAITS,Une vache produit environ 200 000 bouteilles de lait dans sa vie  ,0,13,13,2,,,,,,,,,,,475.29835660000026,475.29835660000026,475.29835660000026,0.006634699999267468,Une vache produit environ 200 000 bouteilles de lait dans sa vie,[-0.000925925925925926],[-0.3962962962962963],[1],[0],[0],[18.357490899999902],['Validation_button'],493.6649699999998,493.6649699999998,498.6647675000004,498.6647675000004,498.6647675000004,499.1650202000001,,,,,,,,,,,,,,,,,,,,,,,,,,,AP5,001,2023-03-17_12h33.39.933,Expérimentation1_SOLO,2022.2.5,60.063054194356646,
Les oiseaux bleus ne peuvent pas voir la couleur bleue  ,FAITS,Les oiseaux bleus ne peuvent pas voir la couleur bleue  ,0,14,14,3,,,,,,,,,,,499.1650202000001,499.1650202000001,499.1650202000001,0.00731169999926351,Les oiseaux bleus ne peuvent pas voir la couleur bleue,[-0.000925925925925926],[-0.3925925925925926],[1],[0],[0],[14.841340899998613],['Validation_button'],514.0150066000006,514.0150066000006,519.0148055000009,519.0148055000009,519.0148055000009,519.5225225000013,,,,,,,,,,,,,,,,,,,,,,,,,,,AP5,001,2023-03-17_12h33.39.933,Expérimentation1_SOLO,2022.2.5,60.063054194356646,
La plus longue composition classique prendrait 639 ans à être interprétée  ,POINTS,La plus longue composition classique prendrait 639 ans à être interprétée  ,0,15,15,25,,,,,,,,,,,519.5225225000013,519.5225225000013,519.5225225000013,0.013990399998874636,La plus longue composition classique prendrait 639 ans à etre interprétée,[0.012962962962962963],[-0.3990740740740741],[1],[0],[0],[30.601275799999712],['Validation_button'],550.1316861000014,550.1316861000014,555.1317811000008,555.1317811000008,555.1317811000008,555.6408511999998,,,,,,,,,,,,,,,,,,,,,,,,,,,AP5,001,2023-03-17_12h33.39.933,Expérimentation1_SOLO,2022.2.5,60.063054194356646,
La république dominicaine est le seul pays qui possède un drapeau contenant une bible ,NOMS,La république dominicaine est le seul pays qui possède un drapeau contenant une bible ,0,16,16,15,,,,,,,,,,,555.6408511999998,555.6408511999998,555.6408511999998,0.014238300000215531,La république dominicaine est le seul pays qui possède un drapeau contenant une bible,[0.01574074074074074],[-0.4009259259259259],[1],[0],[0],[23.8169926999999],['Validation_button'],579.4649973000014,579.4649973000014,584.465101400001,584.465101400001,584.465101400001,584.9714030000014,,,,,,,,,,,,,,,,,,,,,,,,,,,AP5,001,2023-03-17_12h33.39.933,Expérimentation1_SOLO,2022.2.5,60.063054194356646,
La raie manta peut atteindre 9 mètres de long pour environ 2 tonnes ,INFOS,La raie manta peut atteindre 9 mètres de long pour environ 2 tonnes ,0,17,17,31,,,,,,,,,,,584.9714030000014,584.9714030000014,584.9714030000014,0.011384200000975397,La raie manta peut atteindre 9 mètres de long pour environ 2 tonnes,[0.016666666666666666],[-0.39444444444444443],[1],[0],[0],[20.803082899999936],['Validation_button'],605.7819400000008,605.7819400000008,610.7819283000008,610.7819283000008,610.7819283000008,611.285652300001,,,,,,,,,,,,,,,,,,,,,,,,,,,AP5,001,2023-03-17_12h33.39.933,Expérimentation1_SOLO,2022.2.5,60.063054194356646,
"Seulement 2 pays touchent 3 océans, les Etats-Unis et le Canada",FAITS,"Seulement 2 pays touchent 3 océans, les Etats-Unis et le Canada",0,18,18,4,,,,,,,,,,,611.285652300001,611.285652300001,611.285652300001,0.011479900000267662,"Seulement 2 pays touchent 3 océans, les Etats-Unis et la Canada",[0.001851851851851852],[-0.39444444444444443],[1],[0],[0],[20.919832400000814],['Validation_button'],632.2153312999999,632.2153312999999,637.2150681000003,637.2150681000003,637.2150681000003,637.7205244000015,,,,,,,,,,,,,,,,,,,,,,,,,,,AP5,001,2023-03-17_12h33.39.933,Expérimentation1_SOLO,2022.2.5,60.063054194356646,
Les frites sont originaires de France et non de Belgique,INFOS,Les frites sont originaires de France et non de Belgique,0,19,19,12,,,,,,,,,,,637.7205244000015,637.7205244000015,637.7205244000015,0.010591300000669435,Les frites sont originaires de France et non de Belgique,[0.013888888888888888],[-0.39351851851851855],[1],[0],[0],[18.654713300000367],['Validation_button'],656.3820970000015,656.3820970000015,661.3821367,661.3821367,661.3821367,661.8892845999999,,,,,,,,,,,,,,,,,,,,,,,,,,,AP5,001,2023-03-17_12h33.39.933,Expérimentation1_SOLO,2022.2.5,60.063054194356646,
L’indicatif téléphonique international de l’Antarctique est 672 ,INFOS,L’indicatif téléphonique international de l’Antarctique est 672 ,0,20,20,10,,,,,,,,,,,661.8892845999999,661.8892845999999,661.8892845999999,0.012664899999435875,L'indicatif téléphonique international de l'Antarctique est 672,"[0.020370370370370372, 0.025, 0.02962962962962963]","[-0.38425925925925924, -0.41388888888888886, -0.4009259259259259]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[21.534783299999617, 22.11866530000043, 22.65207190000001]",['Validation_button'],684.5486077000005,684.5486077000005,689.5487424000003,689.5487424000003,689.5487424000003,690.0585099,,,,,,,,,,,,,,,,,,,,,,,,,,,AP5,001,2023-03-17_12h33.39.933,Expérimentation1_SOLO,2022.2.5,60.063054194356646,
Les élastiques sont plus longs quand ils sont très froids/réfrigérés ,INFOS,Les élastiques sont plus longs quand ils sont très froids/réfrigérés ,0,21,21,11,,,,,,,,,,,690.0585099,690.0585099,690.0585099,0.015243300000292948,Les élastiques sont plus longs quand ils sont très froids/réfrigérés,[0.02962962962962963],[-0.4009259259259259],[1],[0],[0],[24.182048299999224],['Validation_button'],714.2486829000009,714.2486829000009,719.2489483000008,719.2489483000008,719.2489483000008,719.7535681000008,,,,,,,,,,,,,,,,,,,,,,,,,,,AP5,001,2023-03-17_12h33.39.933,Expérimentation1_SOLO,2022.2.5,60.063054194356646,
L’écriture chinoise comprend plus de 40 000 caractères  ,NOMS,L’écriture chinoise comprend plus de 40 000 caractères  ,0,22,22,18,,,,,,,,,,,719.7535681000008,719.7535681000008,719.7535681000008,0.010394500000984408,L'écriture chinoise comprend plus de 40 000 caractères,"[0.0, 0.0]","[-0.41203703703703703, -0.39814814814814814]","[1, 1]","[0, 0]","[0, 0]","[19.93726649999917, 20.503686899999593]",['Validation_button'],740.2654683000001,740.2654683000001,745.2653555000015,745.2653555000015,745.2653555000015,745.7724312000009,,,,,,,,,,,,,,,,,,,,,,,,,,,AP5,001,2023-03-17_12h33.39.933,Expérimentation1_SOLO,2022.2.5,60.063054194356646,
L’océan Atlantique est plus salé que l’océan Pacifique,NOMS,L’océan Atlantique est plus salé que l’océan Pacifique,0,23,23,14,,,,,,,,,,,745.7724312000009,745.7724312000009,745.7724312000009,0.01272179999978107,L'océan Atlantique est plus salé que l'océan Pacifique,[-0.011111111111111112],[-0.38981481481481484],[1],[0],[0],[20.48595530000057],['Validation_button'],766.2657863000004,766.2657863000004,771.2654843,771.2654843,771.2654843,771.772864300001,,,,,,,,,,,,,,,,,,,,,,,,,,,AP5,001,2023-03-17_12h33.39.933,Expérimentation1_SOLO,2022.2.5,60.063054194356646,
Une personne perdra environ 18 kilos de peau durant toute sa vie  ,POINTS,Une personne perdra environ 18 kilos de peau durant toute sa vie  ,0,24,24,26,,,,,,,,,,,771.772864300001,771.772864300001,771.772864300001,0.012521599999672617,Une personne prendra environ 18 kilos de peau durant toute sa vie,[0.006481481481481481],[-0.3907407407407407],[1],[0],[0],[18.268337999999858],['Validation_button'],790.0490215000009,790.0490215000009,795.0487701000002,795.0487701000002,795.0487701000002,795.558563300001,,,,,,,,,,,,,,,,,,,,,,,,,,,AP5,001,2023-03-17_12h33.39.933,Expérimentation1_SOLO,2022.2.5,60.063054194356646,
Le Groenland est l’île la plus grande du monde par sa superficie  ,FAITS,Le Groenland est l’île la plus grande du monde par sa superficie  ,0,25,25,0,,,,,,,,,,,795.558563300001,795.558563300001,795.558563300001,0.014123199998721248,Le Groenland est l'ile la plus grande du monde par sa superficie,[0.025],[-0.40370370370370373],[1],[0],[0],[20.666194900000846],['Validation_button'],816.2325552000002,816.2325552000002,821.2321232000013,821.2321232000013,821.2321232000013,821.7409165999998,,,,,,,,,,,,,,,,,,,,,,,,,,,AP5,001,2023-03-17_12h33.39.933,Expérimentation1_SOLO,2022.2.5,60.063054194356646,
L’œil d’une autruche est plus gros que son cerveau  ,ITEMS,L’œil d’une autruche est plus gros que son cerveau  ,0,26,26,19,,,,,,,,,,,821.7409165999998,821.7409165999998,821.7409165999998,0.014181799999278155,L'oeil d'une autruche est plus gros que son cerveau,[-0.000925925925925926],[-0.40370370370370373],[1],[0],[0],[18.167453800000658],['Validation_button'],839.9158607999998,839.9158607999998,844.9157061000005,844.9157061000005,844.9157061000005,845.4154937000003,,,,,,,,,,,,,,,,,,,,,,,,,,,AP5,001,2023-03-17_12h33.39.933,Expérimentation1_SOLO,2022.2.5,60.063054194356646,
Le cœur d’une crevette est dans sa tête  ,POINTS,Le cœur d’une crevette est dans sa tête  ,0,27,27,28,,,,,,,,,,,845.4154937000003,845.4154937000003,845.4154937000003,0.006108999999923981,Le coeur d'une crevette est dans sa tete,[-0.003703703703703704],[-0.4009259259259259],[1],[0],[0],[12.391909900001338],['Validation_button'],857.8156962000012,857.8156962000012,862.815567900001,862.815567900001,862.815567900001,863.3168491000015,,,,,,,,,,,,,,,,,,,,,,,,,,,AP5,001,2023-03-17_12h33.39.933,Expérimentation1_SOLO,2022.2.5,60.063054194356646,
