anecdotes_train,fichier_train,Train_loop.thisRepN,Train_loop.thisTrialN,Train_loop.thisN,Train_loop.thisIndex,Train_reco_loop.thisRepN,Train_reco_loop.thisTrialN,Train_reco_loop.thisN,Train_reco_loop.thisIndex,textWelcome.started,Instructions.started,textWelcome.stopped,key_resp.started,key_resp.keys,key_resp.rt,anecdote_train.started,train_text.started,validation_train.started,mouse_train.started,train_text.text,mouse_train.x,mouse_train.y,mouse_train.leftButton,mouse_train.midButton,mouse_train.rightButton,mouse_train.time,mouse_train.clicked_name,feedbacktext.started,feedback_fichier_train.started,blank.started,Instruc_reco_train.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,anecdotes_train_2.started,reco_text_train.started,validation_train_reco.started,mouse_reco_train.started,reco_text_train.text,mouse_reco_train.x,mouse_reco_train.y,mouse_reco_train.leftButton,mouse_reco_train.midButton,mouse_reco_train.rightButton,mouse_reco_train.time,mouse_reco_train.clicked_name,text.started,text_2.started,end.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,23.809503399999812,25.816158499990706,25.836247999992338,28.78790840000147,space,5.78404519999458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851723,001,2023-03-03_13h06.05.977,Expérimentation1_SOLO_TRAIN,2022.2.5,None,
Une voiture à 4 roues,POINTS,0,0,0,0,,,,,,,,,,,34.67565679999825,34.67565679999825,34.67565679999825,0.036068000001250766, Une voiture à 4 anecdotes,[-0.009114583333333334],[-0.39453125],[1],[0],[0],[12.30278329999419],['validation_train'],46.947255599996424,46.947255599996424,51.944851899999776,,,,,,,,,,,,,,,,,,,,,851723,001,2023-03-03_13h06.05.977,Expérimentation1_SOLO_TRAIN,2022.2.5,None,
Le kangourou est l'animal emblématique de l'Australie,NOMS,0,1,1,1,,,,,,,,,,,52.455933899997035,52.455933899997035,52.455933899997035,0.017491699996753596,Le kangourou est,[-0.006510416666666667],[-0.3919270833333333],[1],[0],[0],[11.991591599988169],['validation_train'],64.45981119999487,64.45981119999487,69.45718040000065,,,,,,,,,,,,,,,,,,,,,851723,001,2023-03-03_13h06.05.977,Expérimentation1_SOLO_TRAIN,2022.2.5,None,
Le Coca Cola était à la base un médicament,ITEMS,0,2,2,2,,,,,,,,,,,69.9702505000023,69.9702505000023,69.9702505000023,0.020480099992710166,,[0.0],[-0.3919270833333333],[1],[0],[0],[2.9842447000119137],['validation_train'],72.97060549999878,72.97060549999878,77.98347589999321,,,,,,,,,,,,,,,,,,,,,851723,001,2023-03-03_13h06.05.977,Expérimentation1_SOLO_TRAIN,2022.2.5,None,
"Au Royaume-Uni, il est légal de tuer un Écossais dans la ville de York s’il porte un arc et des flèches",DONNEES,0,3,3,3,,,,,,,,,,,78.5141380999994,78.5141380999994,78.5141380999994,0.05608619999838993,,[-0.005208333333333333],[-0.40625],[1],[0],[0],[1.3033295000059297],['validation_train'],79.82841809999081,79.82841809999081,84.82628069999919,,,,,,,,,,,,,,,,,,,,,851723,001,2023-03-03_13h06.05.977,Expérimentation1_SOLO_TRAIN,2022.2.5,None,
Mâcher un chewing-gum en épluchant un oignon éviterait de nous faire pleurer,INFOS,0,4,4,4,,,,,,,,,,,85.37155859998893,85.37155859998893,85.37155859998893,0.04000680000171997,,[-0.0026041666666666665],[-0.3919270833333333],[1],[0],[0],[2.130485600006068],['validation_train'],87.50102779999725,87.50102779999725,92.49956189999648,,,,,,,,,,,,,,,,,,,,,851723,001,2023-03-03_13h06.05.977,Expérimentation1_SOLO_TRAIN,2022.2.5,None,
Le diamètre du soleil diminue d’un mètre par heure,FAITS,0,5,5,5,,,,,,,,,,,93.03043819998857,93.03043819998857,93.03043819998857,0.02747570000065025,,"[-0.013020833333333334, -0.015625]","[-0.3841145833333333, -0.3958333333333333]","[1, 1]","[0, 0]","[0, 0]","[2.5603814000060083, 3.459449300004053]",['validation_train'],96.49170699999377,96.49170699999377,101.50423479999881,,,,,,,,,,,,,,,,,,,,,851723,001,2023-03-03_13h06.05.977,Expérimentation1_SOLO_TRAIN,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.9928818999906,104.97304079998867,space,35.63988309999695,,,,,,,,,,,,,,,,,851723,001,2023-03-03_13h06.05.977,Expérimentation1_SOLO_TRAIN,2022.2.5,None,
Mâcher un chewing-gum en épluchant un oignon éviterait de nous faire pleurer,INFOS,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,151.90071669999452,,,,,140.69369459999143,140.69369459999143,140.69369459999143,0.028125199998612516, points,[0.006510416666666667],[-0.39453125],[1],[0],[0],[11.221147500007646],['validation_train_reco'],,,,,851723,001,2023-03-03_13h06.05.977,Expérimentation1_SOLO_TRAIN,2022.2.5,None,
Le kangourou est l'animal emblématique de l'Australie,NOMS,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,152.79996920000121,,,,,152.4321060999937,152.4321060999937,152.4321060999937,0.013226099996245466,,[0.006510416666666667],[-0.39453125],[1],[0],[0],[0.3831300000019837],['validation_train_reco'],,,,,851723,001,2023-03-03_13h06.05.977,Expérimentation1_SOLO_TRAIN,2022.2.5,None,
